conformer_id,energy_in_kcalpermol,rel_energy_in_kcalpermol,rel_energy_in_kJpermol
40,2.8774959362706625,5.806128910990083e-10,2.4292843363582505e-09
41,2.877495936761429,1.0713794296179913e-09,4.4826515335216756e-09
42,2.877495935988957,2.9890756536588015e-10,1.2506292534908426e-09
43,2.8774959359657846,2.757349903959039e-10,1.1536751998164619e-09
44,2.8774959361448573,4.5480774701900373e-10,1.9029156135275117e-09
45,5.340527368958332,2.4630314332682826,10.305323516794495
46,4.156085348387167,1.2785894126971176,5.34961810272474
47,4.1560853494557595,1.27858941376571,5.34961810719573
48,4.156085349660238,1.278589413970188,5.349618108051267
49,4.156085347542344,1.2785894118522947,5.3496180991900015
50,4.1560853479811115,1.278589412291062,5.349618101025803
51,4.156085348399641,1.2785894127095911,5.34961810277693
52,2.8774959359032515,2.1320190057849686e-10,8.920367520204309e-10
53,2.8774959404205234,4.730473790459655e-09,1.9792302339283196e-08
54,2.877495936176601,4.865512437390862e-10,2.035730403804337e-09
55,4.156085348814408,1.278589413124358,5.349618104512314
56,4.156085348074663,1.2785894123846138,5.349618101417224
57,4.156085347861444,1.278589412171394,5.349618100525113
58,4.156085348595919,1.2785894129058697,5.349618103598159
59,2.8774959371508153,1.4607657305987232e-09,6.111843816825058e-09
60,4.156085347882449,1.2785894121923995,5.349618100613
61,2.8774959372843014,1.5942518416522944e-09,6.6703497054732e-09
62,2.8774959380547873,2.364737738957956e-09,9.894062699800088e-09
63,4.1560853482069575,1.278589412516908,5.349618101970743
64,4.156085349876582,1.2785894141865324,5.349618108956451
65,4.156085347786586,1.2785894120965366,5.349618100211909
66,4.156085349230567,1.2785894135405176,5.3496181062535255
67,4.156085347694134,1.2785894120040844,5.349618099825089
68,4.156085350889763,1.278589415199713,5.349618113195599
69,4.156085347924403,1.2785894122343535,5.349618100788535
70,4.156085348122492,1.2785894124324422,5.349618101617338
71,2.877495936801772,1.1117222697976104e-09,4.651445976833202e-09
72,2.87749593628045,5.904006172841036e-10,2.4702361827166897e-09
73,2.8774959356900496,0.0,0.0
74,5.3405273617214455,2.463031426031396,10.305323486515361
75,4.156085348852878,1.2785894131628286,5.349618104673275
76,4.15608534776862,1.2785894120785706,5.349618100136739
77,2.8774959361880406,4.979909817848238e-10,2.083594267787703e-09
78,2.8774959363932684,7.03218816511253e-10,2.9422675282830824e-09
79,4.156085347954416,1.2785894122643668,5.349618100914111
80,4.156085349967164,1.2785894142771141,5.349618109335446
81,4.156085347795576,1.2785894121055268,5.349618100249525
82,2.877495935798976,1.0892620139202336e-10,4.5574722662422574e-10
83,4.156085348531043,1.2785894128409936,5.349618103326717
84,2.8774959359041095,2.1405988093192718e-10,8.956265418191834e-10
85,4.156085347742664,1.2785894120526144,5.349618100028139
86,4.156085347598596,1.2785894119085466,5.349618099425359
87,4.156085348209935,1.2785894125198851,5.349618101983199
88,2.877495937087735,1.3976855228747809e-09,5.847916227708083e-09
89,2.877495938107863,2.417813504962396e-09,1.0116131704762666e-08
90,4.156085347921378,1.2785894122313284,5.349618100775878
91,4.156085348091194,1.2785894124011445,5.349618101486389
92,2.8774959362288612,5.388116619542416e-10,2.254387993616547e-09
93,2.8774959358863583,1.9630874703580048e-10,8.213557975977893e-10
94,4.156085347685767,1.2785894119957177,5.349618099790083
95,2.877495936034137,3.440874252191861e-10,1.4396617871170749e-09
96,4.156085349113946,1.2785894134238962,5.349618105765582
97,4.156085347725787,1.2785894120357373,5.349618099957525
98,4.156085347826476,1.2785894121364265,5.349618100378809
99,4.156085347888309,1.2785894121982597,5.349618100637519
100,2.877495939163973,3.473923371188903e-09,1.453489538505437e-08
101,4.156085347611125,1.2785894119210752,5.349618099477779
102,4.156085348243389,1.2785894125533392,5.349618102123172
103,4.156085348878692,1.2785894131886426,5.349618104781281
104,4.156085348683824,1.2785894129937745,5.349618103965953
105,4.156085348218637,1.2785894125285875,5.34961810201961
106,2.877495935904987,2.149374012105909e-10,8.992980866651123e-10
